Rank,NOC,Gold,Silver,Bronze,Total,Year
34,IRI,0,0,1,1,1948
34,POL,0,0,1,1,1948
34,PUR,0,0,1,1,1948
1,USA,40,19,17,76,1952
2,URS,22,30,19,71,1952
3,HUN,16,10,16,42,1952
4,SWE,12,13,10,35,1952
5,ITA,8,9,4,21,1952
6,TCH,7,3,3,13,1952
7,FRA,6,6,6,18,1952
8,FIN,6,3,13,22,1952
9,AUS,6,2,3,11,1952
10,NOR,3,2,0,5,1952
11,SUI,2,6,6,14,1952
12,RSA,2,4,4,10,1952
13,JAM,2,3,0,5,1952
14,BEL,2,2,0,4,1952
15,DEN,2,1,3,6,1952
16,TUR,2,0,1,3,1952
17,JPN,1,6,2,9,1952
18,GBR,1,2,8,11,1952
19,ARG,1,2,2,5,1952
20,POL,1,2,1,4,1952
21,CAN,1,2,0,3,1952
21,YUG,1,2,0,3,1952
23,ROU,1,1,2,4,1952
24,BRA,1,0,2,3,1952
24,NZL,1,0,2,3,1952
26,IND,1,0,1,2,1952
27,LUX,1,0,0,1,1952
28,GER,0,7,17,24,1952
29,NED,0,5,0,5,1952
30,IRI,0,3,4,7,1952
31,CHI,0,2,0,2,1952
32,AUT,0,1,1,2,1952
32,LIB,0,1,1,2,1952
34,IRL,0,1,0,1,1952
34,MEX,0,1,0,1,1952
34,ESP,0,1,0,1,1952
37,KOR,0,0,2,2,1952
37,TTO,0,0,2,2,1952
37,URY,0,0,2,2,1952
40,BUL,0,0,1,1,1952
40,EGY,0,0,1,1,1952
40,POR,0,0,1,1,1952
40,VEN,0,0,1,1,1952
1,URS,37,29,32,98,1956
2,USA,32,25,17,74,1956
3,AUS,13,8,14,35,1956
4,HUN,9,10,7,26,1956
5,ITA,8,8,9,25,1956
6,SWE,8,5,6,19,1956
7,EUA,6,13,7,26,1956
8,GBR,6,7,11,24,1956
9,ROU,5,3,5,13,1956
10,JPN,4,10,5,19,1956
11,FRA,4,4,6,14,1956
12,TUR,3,2,2,7,1956
13,FIN,3,1,11,15,1956
14,IRI,2,2,1,5,1956
15,CAN,2,1,3,6,1956
16,NZL,2,0,0,2,1956
17,POL,1,4,4,9,1956
18,TCH,1,4,1,6,1956
19,BUL,1,3,1,5,1956
20,DEN,1,2,1,4,1956
21,IRL,1,1,3,5,1956
22,NOR,1,0,2,3,1956
23,MEX,1,0,1,2,1956
24,BRA,1,0,0,1,1956
24,IND,1,0,0,1,1956
26,YUG,0,3,0,3,1956
27,CHI,0,2,2,4,1956
28,BEL,0,2,0,2,1956
29,ARG,0,1,1,2,1956
29,KOR,0,1,1,2,1956
31,ISL,0,1,0,1,1956
31,PAK,0,1,0,1,1956
33,RSA,0,0,4,4,1956
34,AUT,0,0,2,2,1956
35,BHS,0,0,1,1,1956
35,GRE,0,0,1,1,1956
35,SUI,0,0,1,1,1956
35,URY,0,0,1,1,1956
1,URS,43,29,31,103,1960
2,USA,34,21,16,71,1960
3,ITA,13,10,13,36,1960
4,EUA,12,19,11,42,1960
5,AUS,8,8,6,22,1960
6,TUR,7,2,0,9,1960
7,HUN,6,8,7,21,1960
8,JPN,4,7,7,18,1960
9,POL,4,6,11,21,1960
10,TCH,3,2,3,8,1960
11,ROU,3,1,6,10,1960
12,GBR,2,6,12,20,1960
13,DEN,2,3,1,6,1960
14,NZL,2,0,1,3,1960
15,BUL,1,3,3,7,1960
16,SWE,1,2,3,6,1960
17,FIN,1,1,3,5,1960
18,AUT,1,1,0,2,1960
18,YUG,1,1,0,2,1960
20,PAK,1,0,1,2,1960
21,ETH?,1,0,0,1,1960
21,GRE,1,0,0,1,1960
21,NOR,1,0,0,1,1960
24,SUI,0,3,3,6,1960
25,FRA,0,2,3,5,1960
26,BEL,0,2,2,4,1960
27,IRI,0,1,3,4,1960
28,NED,0,1,2,3,1960
28,RSA,0,1,2,3,1960
30,ARG,0,1,1,2,1960
30,EGY,0,1,1,2,1960
32,CAN,0,1,0,1,1960
32,TPE,0,1,0,1,1960
32,GHA,0,1,0,1,1960
32,IND,0,1,0,1,1960
32,MAR,0,1,0,1,1960
32,POR,0,1,0,1,1960
32,SGP,0,1,0,1,1960
39,BRA,0,0,2,2,1960
39,BWI,0,0,2,2,1960
41,IRQ,0,0,1,1,1960
41,MEX,0,0,1,1,1960
41,ESP,0,0,1,1,1960
41,VEN,0,0,1,1,1960
1,USA,36,26,28,90,1964
2,URS,30,31,35,96,1964
3,JPN,16,5,8,29,1964
4,EUA,10,22,18,50,1964
5,ITA,10,10,7,27,1964
6,HUN,10,7,5,22,1964
7,POL,7,6,10,23,1964
8,AUS,6,2,10,18,1964
9,TCH,5,6,3,14,1964
10,GBR,4,12,2,18,1964
11,BUL,3,5,2,10,1964
12,FIN,3,0,2,5,1964
12,NZL,3,0,2,5,1964
14,ROU,2,4,6,12,1964
15,NED,2,4,4,10,1964
16,TUR,2,3,1,6,1964
17,SWE,2,2,4,8,1964
18,DEN,2,1,3,6,1964
19,YUG,2,1,2,5,1964
20,BEL,2,0,1,3,1964
21,FRA,1,8,6,15,1964
22,CAN,1,2,1,4,1964
22,SUI,1,2,1,4,1964
24,BHS,1,0,0,1,1964
24,ETH?,1,0,0,1,1964
24,IND,1,0,0,1,1964
27,KOR,0,2,1,3,1964
28,TTO,0,1,2,3,1964
29,TUN,0,1,1,2,1964
30,ARG,0,1,0,1,1964
30,CUB,0,1,0,1,1964
30,PAK,0,1,0,1,1964
30,PHI,0,1,0,1,1964
34,IRI,0,0,2,2,1964
35,BRA,0,0,1,1,1964
35,GHA,0,0,1,1,1964
35,IRL,0,0,1,1,1964
35,KEN,0,0,1,1,1964
35,MEX,0,0,1,1,1964
35,NGR,0,0,1,1,1964
35,URY,0,0,1,1,1964
1,USA,45,28,34,107,1968
2,URS,29,32,30,91,1968
3,JPN,11,7,7,25,1968
4,HUN,10,10,12,32,1968
5,GDR,9,9,7,25,1968
6,FRA,7,3,5,15,1968
7,TCH,7,2,4,13,1968
8,FRG,5,11,10,26,1968
9,AUS,5,7,5,17,1968
10,GBR,5,5,3,13,1968
11,POL,5,2,11,18,1968
12,ROU,4,6,5,15,1968
13,ITA,3,4,9,16,1968
14,KEN,3,4,2,9,1968
15,MEX,3,3,3,9,1968
16,YUG,3,3,2,8,1968
17,NED,3,3,1,7,1968
18,BUL,2,4,3,9,1968
19,IRI,2,1,2,5,1968
20,SWE,2,1,1,4,1968
21,TUR,2,0,0,2,1968
22,DEN,1,4,3,8,1968
23,CAN,1,3,1,5,1968
24,FIN,1,2,1,4,1968
25,ETH?,1,1,0,2,1968
25,NOR,1,1,0,2,1968
27,NZL,1,0,2,3,1968
28,TUN,1,0,1,2,1968
29,PAK,1,0,0,1,1968
29,VEN,1,0,0,1,1968
31,CUB,0,4,0,4,1968
32,AUT,0,2,2,4,1968
33,SUI,0,1,4,5,1968
34,MGL,0,1,3,4,1968
35,BRA,0,1,2,3,1968
36,BEL,0,1,1,2,1968
36,KOR,0,1,1,2,1968
36,UGA,0,1,1,2,1968
39,CMR,0,1,0,1,1968
39,JAM,0,1,0,1,1968
41,ARG,0,0,2,2,1968
42,GRE,0,0,1,1,1968
42,IND,0,0,1,1,1968
42,TPE,0,0,1,1,1968
1,URS,50,27,22,99,1972
2,USA,33,31,30,94,1972
3,GDR,20,23,23,66,1972
4,FRG,13,11,16,40,1972
5,JPN,13,8,8,29,1972
6,AUS,8,7,2,17,1972
7,POL,7,5,9,21,1972
8,HUN,6,13,16,35,1972
9,BUL,6,10,5,21,1972
10,ITA,5,3,10,18,1972
11,SWE,4,6,6,16,1972
12,GBR,4,5,9,18,1972
13,ROU,3,6,7,16,1972
14,CUB,3,1,4,8,1972
14,FIN,3,1,4,8,1972
16,NED,3,1,1,5,1972
17,FRA,2,4,7,13,1972
18,TCH,2,4,2,8,1972
19,KEN,2,3,4,9,1972
20,YUG,2,1,2,5,1972
21,NOR,2,1,1,4,1972
22,PRK,1,1,3,5,1972
23,NZL,1,1,1,3,1972
24,UGA,1,1,0,2,1972
25,DEN,1,0,0,1,1972
26,SUI,0,3,0,3,1972
27,CAN,0,2,3,5,1972
28,IRI,0,2,1,3,1972
29,BEL,0,2,0,2,1972
29,GRE,0,2,0,2,1972
31,AUT,0,1,2,3,1972
31,COL,0,1,2,3,1972
33,ARG,0,1,0,1,1972
33,LIB,0,1,0,1,1972
33,MEX,0,1,0,1,1972
33,MGL,0,1,0,1,1972
33,PAK,0,1,0,1,1972
33,KOR,0,1,0,1,1972
33,TUN,0,1,0,1,1972
33,TUR,0,1,0,1,1972
41,BRA,0,0,2,2,1972
41,ETH?,0,0,2,2,1972
43,GHA,0,0,1,1,1972
43,IND,0,0,1,1,1972
43,JAM,0,0,1,1,1972
43,NER,0,0,1,1,1972
43,NGR,0,0,1,1,1972
43,ESP,0,0,1,1,1972
1,URS,49,41,35,125,1976
2,GDR,40,25,25,90,1976
3,USA,34,35,25,94,1976
4,FRG,10,12,17,39,1976
5,JPN,9,6,10,25,1976
6,POL,7,6,13,26,1976
7,BUL,6,9,7,22,1976
8,CUB,6,4,3,13,1976
9,ROU,4,9,14,27,1976
10,HUN,4,5,13,22,1976
11,FIN,4,2,0,6,1976
12,SWE,4,1,0,5,1976
13,GBR,3,5,5,13,1976
14,ITA,2,7,4,13,1976
15,FRA,2,3,4,9,1976
16,YUG,2,3,3,8,1976
17,TCH,2,2,4,8,1976
18,NZL,2,1,1,4,1976
19,KOR,1,1,4,6,1976
20,SUI,1,1,2,4,1976
21,JAM,1,1,0,2,1976
21,PRK,1,1,0,2,1976
21,NOR,1,1,0,2,1976
24,DEN,1,0,2,3,1976
25,MEX,1,0,1,2,1976
26,TTO,1,0,0,1,1976
27,CAN,0,5,6,11,1976
28,BEL,0,3,3,6,1976
29,NED,0,2,3,5,1976
30,POR,0,2,0,2,1976
30,ESP,0,2,0,2,1976
32,AUS,0,1,4,5,1976
33,IRI,0,1,1,2,1976
34,MGL,0,1,0,1,1976
34,VEN,0,1,0,1,1976
36,BRA,0,0,2,2,1976
37,AUT,0,0,1,1,1976
37,BMU,0,0,1,1,1976
37,PAK,0,0,1,1,1976
37,PUR,0,0,1,1,1976
37,THA,0,0,1,1,1976
1,URS,80,69,46,195,1980
2,GDR,47,37,42,126,1980
3,BUL,8,16,17,41,1980
4,CUB,8,7,5,20,1980
5,ITA,8,3,4,15,1980
6,HUN,7,10,15,32,1980
7,ROU,6,6,13,25,1980
8,FRA,6,5,3,14,1980
9,GBR,5,7,9,21,1980
10,POL,3,14,15,32,1980
11,SWE,3,3,6,12,1980
12,FIN,3,1,4,8,1980
13,TCH,2,3,9,14,1980
14,YUG,2,3,4,9,1980
15,AUS,2,2,5,9,1980
16,DEN,2,1,2,5,1980
17,BRA,2,0,2,4,1980
17,ETH?,2,0,2,4,1980
19,SUI,2,0,0,2,1980
20,ESP,1,3,2,6,1980
21,AUT,1,2,1,4,1980
22,GRE,1,0,2,3,1980
23,BEL,1,0,0,1,1980
23,IND,1,0,0,1,1980
23,ZIM,1,0,0,1,1980
26,PRK,0,3,2,5,1980
27,MGL,0,2,2,4,1980
28,TAN,0,2,0,2,1980
29,MEX,0,1,3,4,1980
30,NED,0,1,2,3,1980
31,IRL,0,1,1,2,1980
32,UGA,0,1,0,1,1980
32,VEN,0,1,0,1,1980
34,JAM,0,0,3,3,1980
35,GUY,0,0,1,1,1980
35,LIB,0,0,1,1,1980
1,USA,83,61,30,174,1984
2,ROU,20,16,17,53,1984
3,FRG,17,19,23,59,1984
4,CHN,15,8,9,32,1984
5,ITA,14,6,12,32,1984
6,CAN,10,18,16,44,1984
7,JPN,10,8,14,32,1984
8,NZL,8,1,2,11,1984
9,YUG,7,4,7,18,1984
10,KOR,6,6,7,19,1984
11,GBR,5,11,21,37,1984
12,FRA,5,7,16,28,1984
13,NED,5,2,6,13,1984
14,AUS,4,8,12,24,1984
15,FIN,4,2,6,12,1984
16,SWE,2,11,6,19,1984
17,MEX,2,3,1,6,1984
18,MAR,2,0,0,2,1984
19,BRA,1,5,2,8,1984
20,ESP,1,2,2,5,1984
21,BEL,1,1,2,4,1984
22,AUT,1,1,1,3,1984
23,KEN,1,0,2,3,1984
23,POR,1,0,2,3,1984
25,PAK,1,0,0,1,1984
26,SUI,0,4,4,8,1984
27,DEN,0,3,3,6,1984
28,JAM,0,1,2,3,1984
28,NOR,0,1,2,3,1984
30,GRE,0,1,1,2,1984
30,NGR,0,1,1,2,1984
30,PUR,0,1,1,2,1984
33,COL,0,1,0,1,1984
33,EGY,0,1,0,1,1984
33,IRL,0,1,0,1,1984
33,CIV,0,1,0,1,1984
33,PER,0,1,0,1,1984
33,SYR,0,1,0,1,1984
33,THA,0,1,0,1,1984
40,TUR,0,0,3,3,1984
40,VEN,0,0,3,3,1984
42,DZA,0,0,2,2,1984
43,CMR,0,0,1,1,1984
43,TPE,0,0,1,1,1984
43,DOM,0,0,1,1,1984
43,ISL,0,0,1,1,1984
43,ZMB,0,0,1,1,1984
1,URS,55,31,46,132,1988
2,GDR,37,35,30,102,1988
3,USA,36,31,27,94,1988
4,KOR,12,10,11,33,1988
5,FRG,11,14,15,40,1988
6,HUN,11,6,6,23,1988
7,BUL,10,12,13,35,1988
8,ROU,7,11,6,24,1988
9,FRA,6,4,6,16,1988
10,ITA,6,4,4,14,1988
11,CHN,5,11,12,28,1988
12,GBR,5,10,9,24,1988
13,KEN,5,2,2,9,1988
14,JPN,4,3,7,14,1988
15,AUS,3,6,5,14,1988
16,YUG,3,4,5,12,1988
17,TCH,3,3,2,8,1988
18,NZL,3,2,8,13,1988
19,CAN,3,2,5,10,1988
20,POL,2,5,9,16,1988
21,NOR,2,3,0,5,1988
22,NED,2,2,5,9,1988
23,DEN,2,1,1,4,1988
24,BRA,1,2,3,6,1988
25,FIN,1,1,2,4,1988
25,ESP,1,1,2,4,1988
27,TUR,1,1,0,2,1988
28,MAR,1,0,2,3,1988
29,AUT,1,0,0,1,1988
29,POR,1,0,0,1,1988
29,SUR,1,0,0,1,1988
32,SWE,0,4,7,11,1988
33,SUI,0,2,2,4,1988
34,JAM,0,2,0,2,1988
35,ARG,0,1,1,2,1988
36,CHI,0,1,0,1,1988
36,CRI,0,1,0,1,1988
36,IDN,0,1,0,1,1988
36,IRI,0,1,0,1,1988
36,ANT,0,1,0,1,1988
36,PER,0,1,0,1,1988
36,SEN,0,1,0,1,1988
36,VIR,0,1,0,1,1988
44,BEL,0,0,2,2,1988
44,MEX,0,0,2,2,1988
46,COL,0,0,1,1,1988
46,DJI,0,0,1,1,1988
46,GRE,0,0,1,1,1988
46,MGL,0,0,1,1,1988
46,PAK,0,0,1,1,1988
46,PHI,0,0,1,1,1988
46,THA,0,0,1,1,1988
1,EUN,45,38,29,112,1992
2,USA,37,34,37,108,1992
3,GER,33,21,28,82,1992
4,CHN,16,22,16,54,1992
5,CUB,14,6,11,31,1992
6,ESP,13,7,2,22,1992
7,KOR,12,5,12,29,1992
8,HUN,11,12,7,30,1992
9,FRA,8,5,16,29,1992
10,AUS,7,9,11,27,1992
11,CAN,7,4,7,18,1992
12,ITA,6,5,8,19,1992
13,GBR,5,3,12,20,1992
14,ROU,4,6,8,18,1992
15,TCH,4,2,1,7,1992
16,PRK,4,0,5,9,1992
17,JPN,3,8,11,22,1992
18,BUL,3,7,6,16,1992
19,POL,3,6,10,19,1992
20,NED,2,6,7,15,1992
21,KEN,2,4,2,8,1992
22,NOR,2,4,1,7,1992
23,TUR,2,2,2,6,1992
24,IDN,2,2,1,5,1992
25,BRA,2,1,0,3,1992
26,GRE,2,0,0,2,1992
27,SWE,1,7,4,12,1992
28,NZL,1,4,5,10,1992
29,FIN,1,2,2,5,1992
30,DEN,1,1,4,6,1992
31,MAR,1,1,1,3,1992
32,IRL,1,1,0,2,1992
33,ETH?,1,0,2,3,1992
34,DZA,1,0,1,2,1992
34,EST,1,0,1,2,1992
34,LTU,1,0,1,2,1992
37,SUI,1,0,0,1,1992
38,JAM,0,3,1,4,1992
38,NGR,0,3,1,4,1992
40,LAT,0,2,1,3,1992
41,AUT,0,2,0,2,1992
41,NAM,0,2,0,2,1992
41,RSA,0,2,0,2,1992
44,BEL,0,1,2,3,1992
44,HRV,0,1,2,3,1992
44,IOP,0,1,2,3,1992
44,IRI,0,1,2,3,1992
48,ISR,0,1,1,2,1992
49,TPE,0,1,0,1,1992
49,MEX,0,1,0,1,1992
49,PER,0,1,0,1,1992
52,MGL,0,0,2,2,1992
52,SVN,0,0,2,2,1992
54,ARG,0,0,1,1,1992
54,BHS,0,0,1,1,1992
54,COL,0,0,1,1,1992
54,GHA,0,0,1,1,1992
54,MYS,0,0,1,1,1992
54,PAK,0,0,1,1,1992
54,PHI,0,0,1,1,1992
54,PUR,0,0,1,1,1992
54,QAT,0,0,1,1,1992
54,SUR,0,0,1,1,1992
54,THA,0,0,1,1,1992
1,USA,44,32,25,101,1996
2,RUS,26,21,16,63,1996
3,GER,20,18,27,65,1996
4,CHN,16,22,12,50,1996
5,FRA,15,7,15,37,1996
6,ITA,13,10,12,35,1996
7,AUS,9,9,23,41,1996
8,CUB,9,8,8,25,1996
9,UKR,9,2,12,23,1996
10,KOR,7,15,5,27,1996
11,POL,7,5,5,17,1996
12,HUN,7,4,10,21,1996
13,ESP,5,6,6,17,1996
14,ROU,4,7,9,20,1996
15,NED,4,5,10,19,1996
16,GRE,4,4,0,8,1996
17,CZE,4,3,4,11,1996
18,SUI,4,3,0,7,1996
19,DEN,4,1,1,6,1996
19,TUR,4,1,1,6,1996
21,CAN,3,11,8,22,1996
22,BUL,3,7,5,15,1996
23,JPN,3,6,5,14,1996
24,KAZ,3,4,4,11,1996
25,BRA,3,3,9,15,1996
26,NZL,3,2,1,6,1996
27,RSA,3,1,1,5,1996
28,IRL,3,0,1,4,1996
29,SWE,2,4,2,8,1996
30,NOR,2,2,3,7,1996
31,BEL,2,2,2,6,1996
32,NGR,2,1,3,6,1996
33,PRK,2,1,2,5,1996
34,DZA,2,0,1,3,1996
34,ETH?,2,0,1,3,1996
36,GBR,1,8,6,15,1996
37,BLR,1,6,8,15,1996
38,KEN,1,4,3,8,1996
39,JAM,1,3,2,6,1996
40,FIN,1,2,1,4,1996
41,YUG,1,1,2,4,1996
41,IDN,1,1,2,4,1996
43,IRI,1,1,1,3,1996
43,SVK,1,1,1,3,1996
45,ARM,1,1,0,2,1996
45,HRV,1,1,0,2,1996
47,POR,1,0,1,2,1996
47,THA,1,0,1,2,1996
49,BDI,1,0,0,1,1996
49,CRI,1,0,0,1,1996
49,ECU,1,0,0,1,1996
49,HKG,1,0,0,1,1996
49,SYR,1,0,0,1,1996
54,ARG,0,2,1,3,1996
55,NAM,0,2,0,2,1996
55,SVN,0,2,0,2,1996
57,AUT,0,1,2,3,1996
58,MYS,0,1,1,2,1996
58,MDA,0,1,1,2,1996
58,UZB,0,1,1,2,1996
61,AZE,0,1,0,1,1996
61,BHS,0,1,0,1,1996
61,TPE,0,1,0,1,1996
61,LAT,0,1,0,1,1996
61,PHI,0,1,0,1,1996
61,TON,0,1,0,1,1996
61,ZMB,0,1,0,1,1996
68,GEO,0,0,2,2,1996
